date_line,index_capital_line
2010-11-16 00:00:00.005,3169.538
2010-11-17 00:00:00.005,3103.906
2010-11-18 00:00:00.005,3147.962
2010-11-19 00:00:00.005,3178.846
2010-11-22 00:00:00.005,3171.941
2010-11-23 00:00:00.005,3107.176
2010-11-24 00:00:00.005,3177.043
2010-11-25 00:00:00.005,3223.484
2010-11-26 00:00:00.005,3194.853
2010-11-29 00:00:00.005,3190.05
2010-11-30 00:00:00.005,3136.985
2010-12-01 00:00:00.005,3136.024
2010-12-02 00:00:00.005,3155.059
2010-12-03 00:00:00.005,3158.156
2010-12-06 00:00:00.005,3165.57
2010-12-07 00:00:00.005,3200.339
2010-12-08 00:00:00.005,3171.882
2010-12-09 00:00:00.005,3123.366
2010-12-10 00:00:00.005,3161.977
2010-12-13 00:00:00.005,3261.061
2010-12-14 00:00:00.005,3269.474
2010-12-15 00:00:00.005,3247.644
2010-12-16 00:00:00.005,3230.665
2010-12-17 00:00:00.005,3225.661
2010-12-20 00:00:00.005,3178.657
2010-12-21 00:00:00.005,3249.509
2010-12-22 00:00:00.005,3215.453
2010-12-23 00:00:00.005,3188.607
2010-12-24 00:00:00.005,3162.955
2010-12-27 00:00:00.005,3099.709
2010-12-28 00:00:00.005,3044.931
2010-12-29 00:00:00.005,3061.83
2010-12-30 00:00:00.005,3064.098
2010-12-31 00:00:00.005,3128.261
2011-01-04 00:00:00.005,3189.682
2011-01-05 00:00:00.005,3175.662
2011-01-06 00:00:00.005,3159.643
2011-01-07 00:00:00.005,3166.624
2011-01-10 00:00:00.005,3108.187
2011-01-11 00:00:00.005,3124.922
2011-01-12 00:00:00.005,3142.337
2011-01-13 00:00:00.005,3141.284
2011-01-14 00:00:00.005,3091.862
2011-01-17 00:00:00.005,2974.35
2011-01-18 00:00:00.005,2977.648
2011-01-19 00:00:00.005,3044.851
2011-01-20 00:00:00.005,2944.713
2011-01-21 00:00:00.005,2983.456
2011-01-24 00:00:00.005,2954.232
2011-01-25 00:00:00.005,2938.654
2011-01-26 00:00:00.005,2978.431
2011-01-27 00:00:00.005,3026.466
2011-01-28 00:00:00.005,3036.735
2011-01-31 00:00:00.005,3076.508
2011-02-01 00:00:00.005,3077.283
2011-02-09 00:00:00.005,3040.949
2011-02-10 00:00:00.005,3104.163
2011-02-11 00:00:00.005,3120.956
2011-02-14 00:00:00.005,3219.143
2011-02-15 00:00:00.005,3217.671
2011-02-16 00:00:00.005,3248.527
2011-02-17 00:00:00.005,3245.907
2011-02-18 00:00:00.005,3211.876
2011-02-21 00:00:00.005,3257.908
2011-02-22 00:00:00.005,3163.578
2011-02-23 00:00:00.005,3174.742
2011-02-24 00:00:00.005,3190.935
2011-02-25 00:00:00.005,3197.617
2011-02-28 00:00:00.005,3239.559
2011-03-01 00:00:00.005,3254.893
2011-03-02 00:00:00.005,3243.298
2011-03-03 00:00:00.005,3221.718
2011-03-04 00:00:00.005,3270.666
2011-03-07 00:00:00.005,3334.51
2011-03-08 00:00:00.005,3337.457
2011-03-09 00:00:00.005,3338.858
2011-03-10 00:00:00.005,3280.259
2011-03-11 00:00:00.005,3247.376
2011-03-14 00:00:00.005,3262.92
2011-03-15 00:00:00.005,3203.961
2011-03-16 00:00:00.005,3248.195
2011-03-17 00:00:00.005,3197.1
2011-03-18 00:00:00.005,3215.685
2011-03-21 00:00:00.005,3207.11
2011-03-22 00:00:00.005,3222.961
2011-03-23 00:00:00.005,3264.926
2011-03-24 00:00:00.005,3251.361
2011-03-25 00:00:00.005,3294.484
2011-03-28 00:00:00.005,3290.571
2011-03-29 00:00:00.005,3257.979
2011-03-30 00:00:00.005,3256.08
2011-03-31 00:00:00.005,3223.288
2011-04-01 00:00:00.005,3272.729
2011-04-06 00:00:00.005,3311.067
2011-04-07 00:00:00.005,3324.419
2011-04-08 00:00:00.005,3353.358
2011-04-11 00:00:00.005,3333.427
2011-04-12 00:00:00.005,3326.771
2011-04-13 00:00:00.005,3372.031
2011-04-14 00:00:00.005,3353.56
2011-04-15 00:00:00.005,3358.944
2011-04-18 00:00:00.005,3359.438
2011-04-19 00:00:00.005,3295.812
2011-04-20 00:00:00.005,3295.758
2011-04-21 00:00:00.005,3317.367
2011-04-22 00:00:00.005,3299.942
2011-04-25 00:00:00.005,3249.574
2011-04-26 00:00:00.005,3230.96
2011-04-27 00:00:00.005,3209.503
2011-04-28 00:00:00.005,3161.776
2011-04-29 00:00:00.005,3192.723
2011-05-03 00:00:00.005,3211.132
2011-05-04 00:00:00.005,3129.028
2011-05-05 00:00:00.005,3126.117
2011-05-06 00:00:00.005,3121.396
2011-05-09 00:00:00.005,3129.759
2011-05-10 00:00:00.005,3153.221
2011-05-11 00:00:00.005,3145.085
2011-05-12 00:00:00.005,3101.603
2011-05-13 00:00:00.005,3128.093
2011-05-16 00:00:00.005,3100.463
2011-05-17 00:00:00.005,3116.028
2011-05-18 00:00:00.005,3139.379
2011-05-19 00:00:00.005,3120.639
2011-05-20 00:00:00.005,3121.596
2011-05-23 00:00:00.005,3022.98
2011-05-24 00:00:00.005,3026.223
2011-05-25 00:00:00.005,2990.343
2011-05-26 00:00:00.005,2978.381
2011-05-27 00:00:00.005,2963.308
2011-05-30 00:00:00.005,2954.506
2011-05-31 00:00:00.005,3001.556
2011-06-01 00:00:00.005,3004.173
2011-06-02 00:00:00.005,2955.705
2011-06-03 00:00:00.005,2986.349
2011-06-07 00:00:00.005,3004.262
2011-06-08 00:00:00.005,3008.652
2011-06-09 00:00:00.005,2951.889
2011-06-10 00:00:00.005,2961.932
2011-06-13 00:00:00.005,2950.348
2011-06-14 00:00:00.005,2993.559
2011-06-15 00:00:00.005,2963.119
2011-06-16 00:00:00.005,2917.578
2011-06-17 00:00:00.005,2892.157
2011-06-20 00:00:00.005,2874.896
2011-06-21 00:00:00.005,2909.073
2011-06-22 00:00:00.005,2908.582
2011-06-23 00:00:00.005,2957.629
2011-06-24 00:00:00.005,3027.47
2011-06-27 00:00:00.005,3036.491
2011-06-28 00:00:00.005,3041.734
2011-06-29 00:00:00.005,3000.169
2011-06-30 00:00:00.005,3044.089
2011-07-01 00:00:00.005,3049.745
2011-07-04 00:00:00.005,3121.98
2011-07-05 00:00:00.005,3122.5
2011-07-06 00:00:00.005,3113.712
2011-07-07 00:00:00.005,3101.68
2011-07-08 00:00:00.005,3109.183
2011-07-11 00:00:00.005,3113.206
2011-07-12 00:00:00.005,3056.905
2011-07-13 00:00:00.005,3106.247
2011-07-14 00:00:00.005,3115.745
2011-07-15 00:00:00.005,3128.889
2011-07-18 00:00:00.005,3122.6
2011-07-19 00:00:00.005,3095.125
2011-07-20 00:00:00.005,3091.567
2011-07-21 00:00:00.005,3059.139
2011-07-22 00:00:00.005,3067.985
2011-07-25 00:00:00.005,2968.289
2011-07-26 00:00:00.005,2977.766
2011-07-27 00:00:00.005,3000.052
2011-07-28 00:00:00.005,2981.002
2011-07-29 00:00:00.005,2972.079
2011-08-01 00:00:00.005,2977.721
2011-08-02 00:00:00.005,2956.383
2011-08-03 00:00:00.005,2954.87
2011-08-04 00:00:00.005,2960.309
2011-08-05 00:00:00.005,2897.417
2011-08-08 00:00:00.005,2793.897
2011-08-09 00:00:00.005,2798.19
2011-08-10 00:00:00.005,2824.12
2011-08-11 00:00:00.005,2866.924
2011-08-12 00:00:00.005,2875.365
2011-08-15 00:00:00.005,2917.883
2011-08-16 00:00:00.005,2897.581
2011-08-17 00:00:00.005,2886.013
2011-08-18 00:00:00.005,2834.254
2011-08-19 00:00:00.005,2807.664
2011-08-22 00:00:00.005,2777.787
2011-08-23 00:00:00.005,2821.003
2011-08-24 00:00:00.005,2810.016
2011-08-25 00:00:00.005,2903.837
2011-08-26 00:00:00.005,2901.216
2011-08-29 00:00:00.005,2852.809
2011-08-30 00:00:00.005,2841.74
2011-08-31 00:00:00.005,2846.776
2011-09-01 00:00:00.005,2834.535
2011-09-02 00:00:00.005,2803.854
2011-09-05 00:00:00.005,2743.817
2011-09-06 00:00:00.005,2723.303
2011-09-07 00:00:00.005,2779.09
2011-09-08 00:00:00.005,2756.105
2011-09-09 00:00:00.005,2751.095
2011-09-13 00:00:00.005,2720.283
2011-09-14 00:00:00.005,2733.108
2011-09-15 00:00:00.005,2729.051
2011-09-16 00:00:00.005,2733.987
2011-09-19 00:00:00.005,2679.27
2011-09-20 00:00:00.005,2689.845
2011-09-21 00:00:00.005,2771.011
2011-09-22 00:00:00.005,2685.688
